,Table,Column,DataType,ValueType,Formula,Hidden,Naming
4,BalanceOfPower,Category,string,tableColumn,,0.0,BalanceOfPower[Category]
2,BalanceOfPower,Country,string,tableColumn,,0.0,BalanceOfPower[Country]
5,BalanceOfPower,Country_mapping,string,tableColumn,,0.0,BalanceOfPower[Country_mapping]
6,BalanceOfPower,Name of Investor Group,string,tableColumn,,0.0,BalanceOfPower[Name of Investor Group]
3,BalanceOfPower,National MB market share,double,tableColumn,,0.0,BalanceOfPower[National MB market share]
0,BalanceOfPower,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,BalanceOfPower[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
1,BalanceOfPower,index,int64,tableColumn,,0.0,BalanceOfPower[index]
609,Competitor Comparison Categories,Category,string,tableColumn,,0.0,Competitor Comparison Categories[Category]
608,Competitor Comparison Categories,Function,string,tableColumn,,0.0,Competitor Comparison Categories[Function]
607,Competitor Comparison Categories,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,Competitor Comparison Categories[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
610,Competitor Comparison Categories,Sorting,int64,tableColumn,,0.0,Competitor Comparison Categories[Sorting]
517,CounterMeasure,Actual,string,tableColumn,,0.0,CounterMeasure[Actual]
522,CounterMeasure,Comment,string,tableColumn,,0.0,CounterMeasure[Comment]
514,CounterMeasure,Control lever,string,tableColumn,,0.0,CounterMeasure[Control lever]
525,CounterMeasure,Country,string,tableColumn,,0.0,CounterMeasure[Country]
524,CounterMeasure,Country_mapping,string,tableColumn,,0.0,CounterMeasure[Country_mapping]
511,CounterMeasure,ID,string,tableColumn,,0.0,CounterMeasure[ID]
527,CounterMeasure,Impact dealer in m €,string,tableColumn,,0.0,CounterMeasure[Impact dealer in m €]
528,CounterMeasure,Impact manufacturer in m €,string,tableColumn,,0.0,CounterMeasure[Impact manufacturer in m €]
520,CounterMeasure,Impact on dealer RoS in %,string,tableColumn,,0.0,CounterMeasure[Impact on dealer RoS in %]
516,CounterMeasure,Implementation period,string,tableColumn,,0.0,CounterMeasure[Implementation period]
512,CounterMeasure,Line item,string,tableColumn,,0.0,CounterMeasure[Line item]
513,CounterMeasure,MPC,string,tableColumn,,0.0,CounterMeasure[MPC]
515,CounterMeasure,Measure,string,tableColumn,,0.0,CounterMeasure[Measure]
523,CounterMeasure,Reporting Period,string,tableColumn,,0.0,CounterMeasure[Reporting Period]
509,CounterMeasure,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,CounterMeasure[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
521,CounterMeasure,Status of fulfilment,double,tableColumn,,0.0,CounterMeasure[Status of fulfilment]
518,CounterMeasure,Target,string,tableColumn,,0.0,CounterMeasure[Target]
510,CounterMeasure,index,string,tableColumn,,0.0,CounterMeasure[index]
526,CounterMeasure,level_0,int64,tableColumn,,0.0,CounterMeasure[level_0]
519,CounterMeasure,Δ Delta,string,tableColumn,,0.0,CounterMeasure[Δ Delta]
496,CurrentSituation,Country,string,tableColumn,,0.0,CurrentSituation[Country]
495,CurrentSituation,Country_mapping,string,tableColumn,,0.0,CurrentSituation[Country_mapping]
493,CurrentSituation,Current situation,string,tableColumn,,0.0,CurrentSituation[Current situation]
490,CurrentSituation,ID,string,tableColumn,,0.0,CurrentSituation[ID]
491,CurrentSituation,Line item,string,tableColumn,,0.0,CurrentSituation[Line item]
492,CurrentSituation,MPC,string,tableColumn,,0.0,CurrentSituation[MPC]
494,CurrentSituation,Reporting Period,string,tableColumn,,0.0,CurrentSituation[Reporting Period]
488,CurrentSituation,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,CurrentSituation[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
489,CurrentSituation,index,int64,tableColumn,,0.0,CurrentSituation[index]
251,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Date,dateTime,calculatedTableColumn,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Date]
257,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Day,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Day]
253,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,MonthNo,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[MonthNo]
254,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Month,string,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Month]
