,Naming,Table,Column,DataType,ValueType,Formula,Hidden
0,Funnel_Measures[f_Leads3_inactive],Funnel_Measures,f_Leads3_inactive,double,measure,"
var expired = CALCULATE( [f_Leads1_new],
                            SFR_Leads[Lead_Expired] )
var expiredPercent = DIVIDE( expired, [f_Leads1_new] )                            
return IF( ISBLANK(expiredPercent), 0, expiredPercent )                            ",0.0
1,Funnel_Measures[f_Leads1_new],Funnel_Measures,f_Leads1_new,int64,measure,DISTINCTCOUNT(SFR_Leads[LeadName]),0.0
2,SFR_Leads[LeadName],SFR_Leads,LeadName,string,tableColumn,,0.0
3,SFR_Leads[Lead_Expired],SFR_Leads,Lead_Expired,boolean,tableColumn,,0.0
4,Funnel_Measures[f_Leads2_unique],Funnel_Measures,f_Leads2_unique,double,measure,DISTINCTCOUNT(SFR_Leads[UCID]) / [f_Leads1_new],0.0
5,SFR_Leads[UCID],SFR_Leads,UCID,string,tableColumn,,0.0
6,Funnel_Measures[f_Leads4_average],Funnel_Measures,f_Leads4_average,double,measure,"DIVIDE([f_Leads1_new], [Duration_DateRange]) * 30",0.0
7,Funnel_Measures[Duration_DateRange],Funnel_Measures,Duration_DateRange,int64,measure,"DATEDIFF(MIN(Calendar[Date]),MAX(Calendar[Date]),DAY) + 1",0.0
8,Calendar[Date],Calendar,Date,dateTime,calculatedTableColumn,"CALENDAR(MIN(MIN(SFR_Leads[LeadCreatedDateKey]),
                            MIN(MIN(SFR_TDS[TestDriveBookedFromDateKey]),
                            MIN(MIN(SFR_Quotes[QuoDate]),
                            MIN(MIN(SFR_Orders[OrdDate]),
                            MIN(SFR_Sales[ZECUDateKey]))))),
                        MAX(MAX(SFR_Leads[LeadCreatedDateKey]),
                            MAX(MAX(SFR_TDS[TestDriveBookedFromDateKey]),
                            MAX(MAX(SFR_Quotes[QuoDate]),
                            MAX(MAX(SFR_Orders[OrdDate]),
                            MAX(SFR_Sales[ZECUDateKey]))))))",0.0
9,Stages[Stage],Stages,Stage,string,tableColumn,,0.0
10,Stages[Funnel],Stages,Funnel,double,measure,"
    SWITCH(MAX(Stages[Stage_ID])
    ,1, 1
    ,2, DIVIDE([f_TDS1_new], [f_Leads1_new])
    ,3, DIVIDE([f_Quotes1_new], [f_Leads1_new])
    ,4, DIVIDE([f_Orders1_new], [f_Leads1_new])
    ,5, DIVIDE([f_Sales1_new], [f_Leads1_new])
    )",0.0
11,Funnel_Measures[f_Quotes1_new],Funnel_Measures,f_Quotes1_new,int64,measure,"CALCULATE( DISTINCTCOUNT(SFR_Quotes[LeadName]), 
                        USERELATIONSHIP('SFR_Quotes'[int_LeadCreatedDateKey],Calendar[DateKey]))                              ",0.0
12,Calendar[DateKey],Calendar,DateKey,string,calculated,"FORMAT(Calendar[Date],""yyyymmdd"")",0.0
13,SFR_Quotes[LeadName],SFR_Quotes,LeadName,string,tableColumn,,0.0
