,Naming,Table,Column,DataType,ValueType,Formula,Hidden
0,SFR_Leads[LeadName],SFR_Leads,LeadName,string,tableColumn,,0.0
1,SFR_Leads[Lead_Expired],SFR_Leads,Lead_Expired,boolean,tableColumn,,0.0
2,SFR_Leads[UCID],SFR_Leads,UCID,string,tableColumn,,0.0
3,Stages[Stage],Stages,Stage,string,tableColumn,,0.0
4,SFR_Quotes[LeadName],SFR_Quotes,LeadName,string,tableColumn,,0.0
5,SFR_Quotes[int_LeadCreatedDateKey],SFR_Quotes,int_LeadCreatedDateKey,string,tableColumn,,0.0
6,SFR_TDS[int_LeadCreatedDateKey],SFR_TDS,int_LeadCreatedDateKey,string,tableColumn,,0.0
7,SFR_TDS[LeadName],SFR_TDS,LeadName,string,tableColumn,,0.0
8,Stages[Stage_ID],Stages,Stage_ID,int64,tableColumn,,0.0
9,SFR_Orders[LeadName],SFR_Orders,LeadName,string,tableColumn,,0.0
10,SFR_Orders[int_LeadCreatedDateKey],SFR_Orders,int_LeadCreatedDateKey,string,tableColumn,,0.0
11,SFR_Sales[LeadName],SFR_Sales,LeadName,string,tableColumn,,0.0
12,SFR_Sales[int_LeadCreatedDateKey],SFR_Sales,int_LeadCreatedDateKey,string,tableColumn,,0.0
13,SFR_TDS[TestDriveBookedDurationInHours],SFR_TDS,TestDriveBookedDurationInHours,double,tableColumn,,0.0
14,SFR_TDS[TDSstatus],SFR_TDS,TDSstatus,string,tableColumn,,0.0
15,SFR_Quotes[QuoteStatus],SFR_Quotes,QuoteStatus,string,tableColumn,,0.0
16,SFR_Orders[Time_Order_Sale],SFR_Orders,Time_Order_Sale,double,tableColumn,,0.0
17,SFR_Leads[LeadCreatedDateKey],SFR_Leads,LeadCreatedDateKey,dateTime,tableColumn,,0.0
18,SFR_TDS[Time_TDS_Quote],SFR_TDS,Time_TDS_Quote,double,tableColumn,,0.0
19,SFR_Quotes[Time_Quote_Order],SFR_Quotes,Time_Quote_Order,double,tableColumn,,0.0
20,SFR_Leads[Time_Lead_TDS],SFR_Leads,Time_Lead_TDS,double,tableColumn,,0.0
21,SFR_Quotes[Quote_Expired],SFR_Quotes,Quote_Expired,boolean,tableColumn,,0.0
22,SFR_Orders[OrdDate],SFR_Orders,OrdDate,dateTime,tableColumn,,0.0
23,SFR_Quotes[QuoDate],SFR_Quotes,QuoDate,dateTime,tableColumn,,0.0
24,SFR_TDS[TestDriveBookedFromDateKey],SFR_TDS,TestDriveBookedFromDateKey,dateTime,tableColumn,,0.0
25,SFR_Orders[OrderAging360],SFR_Orders,OrderAging360,string,tableColumn,,0.0
26,SFR_Leads[Time_Lead_Sale],SFR_Leads,Time_Lead_Sale,double,tableColumn,,0.0
27,SFR_Leads[int_LeadCreatedDateKey],SFR_Leads,int_LeadCreatedDateKey,string,tableColumn,,0.0
28,SFR_Sales[ZECUDateKey],SFR_Sales,ZECUDateKey,dateTime,tableColumn,,0.0
29,SFR_Sales[ClaimCount],SFR_Sales,ClaimCount,double,tableColumn,,0.0
